0,120.475341797
1,134.565032959
2,136.967544556
3,130.980422974
4,123.053199768
5,119.636207581
6,119.553871155
7,123.466781616
8,117.647613525
9,114.360458374
10,114.097419739
11,114.421554565
12,120.032615662
13,134.493118286
14,137.047286987
15,130.569534302
16,122.927993774
17,119.648780823
18,114.055183411
19,114.832931519
20,111.65713501
21,109.495101929
22,111.947715759
23,113.051696777
24,115.717536926
25,132.821517944
26,135.952133179
27,124.766845703
28,120.267845154
29,118.226402283
30,111.619026184
31,120.486289978
32,118.704017639
33,115.873649597
34,115.708702087
35,115.646331787
36,114.988525391
37,130.60597229
38,132.89151001
39,126.452163696
40,120.994018555
41,118.63458252
42,118.907905579
43,116.563293457
44,111.059249878
45,110.801399231
46,113.426681519
47,114.864524841
48,106.767532349
49,123.208900452
50,124.342941284
51,120.630989075
52,116.052337646
53,114.911804199
54,108.698104858
55,110.340255737
56,110.95451355
57,109.102722168
58,112.834602356
59,114.462478638
60,103.46219635
61,102.675003052
62,101.691375732
63,101.63445282
64,102.292648315
65,102.960403442
66,130.238037109
67,116.501289368
68,113.863609314
69,109.758743286
70,114.186454773
71,114.857223511
72,122.628700256
73,133.112625122
74,131.980621338
75,124.236579895
76,119.624542236
77,117.975242615
78,104.623390198
79,115.356193542
80,111.152832031
81,110.619277954
82,113.194137573
83,113.91179657
